# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum spectrum - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.OBS         Flux.ERR         Flux.SPEC  Flux.SPECerr   
   +1.30257e+03     +8.23114e-01     +1.56560e-01     +7.30007e-19     +7.33015e-21
   +1.30313e+03     +7.81888e-01     +1.55649e-01     +7.24640e-19     +7.65602e-21
   +1.30368e+03     +4.53591e-01     +1.53451e-01     +7.24210e-19     +7.66275e-21
   +1.30424e+03     +8.37110e-01     +1.53113e-01     +7.28181e-19     +7.25689e-21
   +1.30479e+03     +1.19820e+00     +1.51468e-01     +7.29160e-19     +7.01111e-21
   +1.30535e+03     +1.14988e+00     +1.49628e-01     +7.25031e-19     +6.96580e-21
   +1.30590e+03     +1.11267e+00     +1.50633e-01     +7.20304e-19     +7.16575e-21
   +1.30645e+03     +1.03455e+00     +1.50086e-01     +7.19183e-19     +7.57400e-21
   +1.30701e+03     +1.12303e+00     +1.50875e-01     +7.21480e-19     +7.89485e-21
   +1.30756e+03     +8.99145e-01     +1.51237e-01     +7.24791e-19     +7.72350e-21
   +1.30812e+03     +9.02324e-01     +1.51847e-01     +7.27992e-19     +7.25341e-21
   +1.30867e+03     +1.01151e+00     +1.52863e-01     +7.30542e-19     +6.96366e-21
   +1.30923e+03     +1.27941e+00     +1.54033e-01     +7.32187e-19     +6.90666e-21
   +1.30978e+03     +8.14499e-01     +1.53257e-01     +7.32629e-19     +6.95232e-21
   +1.31033e+03     +1.13585e+00     +1.53201e-01     +7.31223e-19     +7.09032e-21
   +1.31089e+03     +9.84798e-01     +1.52474e-01     +7.28437e-19     +7.19509e-21
   +1.31144e+03     +1.05510e+00     +1.52009e-01     +7.26159e-19     +7.09281e-21
   +1.31200e+03     +1.00458e+00     +1.51592e-01     +7.27633e-19     +6.84581e-21
   +1.31255e+03     +1.23088e+00     +1.52020e-01     +7.32512e-19     +6.74025e-21
   +1.31311e+03     +1.03556e+00     +1.52205e-01     +7.37828e-19     +6.83927e-21
   +1.31366e+03     +1.06354e+00     +1.52553e-01     +7.40209e-19     +7.10057e-21
   +1.31422e+03     +8.75986e-01     +1.52961e-01     +7.39800e-19     +7.35330e-21
   +1.31477e+03     +1.08196e+00     +1.54083e-01     +7.38511e-19     +7.40339e-21
   +1.31532e+03     +1.11811e+00     +1.55291e-01     +7.37956e-19     +7.30271e-21
   +1.31588e+03     +1.00738e+00     +1.55680e-01     +7.38199e-19     +7.19672e-21
   +1.31643e+03     +1.16758e+00     +1.57396e-01     +7.38405e-19     +7.23782e-21
   +1.31699e+03     +1.12746e+00     +1.57822e-01     +7.37540e-19     +7.41581e-21
   +1.31754e+03     +1.12073e+00     +1.58237e-01     +7.34990e-19     +7.58684e-21
   +1.31810e+03     +7.20436e-01     +1.57643e-01     +7.31685e-19     +7.56285e-21
   +1.31865e+03     +1.03045e+00     +1.55913e-01     +7.28712e-19     +7.41843e-21
   +1.31920e+03     +8.42582e-01     +1.54724e-01     +7.25846e-19     +7.38178e-21
   +1.31976e+03     +9.63087e-01     +1.53128e-01     +7.21974e-19     +7.60718e-21
   +1.32031e+03     +1.11156e+00     +1.52225e-01     +7.17515e-19     +8.03635e-21
   +1.32087e+03     +1.04168e+00     +1.50502e-01     +7.15411e-19     +8.33401e-21
   +1.32142e+03     +1.17371e+00     +1.49381e-01     +7.17847e-19     +8.27976e-21
   +1.32198e+03     +1.04352e+00     +1.47971e-01     +7.24007e-19     +7.94829e-21
   +1.32253e+03     +1.15644e+00     +1.47924e-01     +7.29537e-19     +7.55190e-21
   +1.32309e+03     +1.27364e+00     +1.46573e-01     +7.31797e-19     +7.17694e-21
   +1.32364e+03     +1.12022e+00     +1.46166e-01     +7.30778e-19     +6.87352e-21
   +1.32419e+03     +1.05813e+00     +1.45800e-01     +7.28939e-19     +6.70168e-21
   +1.32475e+03     +9.17339e-01     +1.45785e-01     +7.27255e-19     +6.65863e-21
   +1.32530e+03     +1.03741e+00     +1.45114e-01     +7.25545e-19     +6.68349e-21
   +1.32586e+03     +9.28503e-01     +1.43922e-01     +7.23478e-19     +6.63380e-21
   +1.32641e+03     +9.72355e-01     +1.44273e-01     +7.21801e-19     +6.44765e-21
   +1.32697e+03     +1.26927e+00     +1.42755e-01     +7.21411e-19     +6.32658e-21
   +1.32752e+03     +9.78057e-01     +1.41777e-01     +7.22313e-19     +6.37105e-21
   +1.32807e+03     +1.00655e+00     +1.40897e-01     +7.23587e-19     +6.59301e-21
   +1.32863e+03     +1.08838e+00     +1.39047e-01     +7.24081e-19     +6.92175e-21
   +1.32918e+03     +9.88599e-01     +1.37990e-01     +7.22813e-19     +7.09063e-21
   +1.32974e+03     +1.06366e+00     +1.36876e-01     +7.19153e-19     +7.06727e-21
   +1.33029e+03     +1.13522e+00     +1.35656e-01     +7.13401e-19     +7.09317e-21
   +1.33085e+03     +1.08806e+00     +1.34918e-01     +7.07032e-19     +7.34852e-21
   +1.33140e+03     +9.20175e-01     +1.33117e-01     +7.03184e-19     +7.59732e-21
   +1.33196e+03     +1.02858e+00     +1.34428e-01     +7.04043e-19     +7.56428e-21
   +1.33251e+03     +8.81907e-01     +1.33526e-01     +7.07505e-19     +7.30480e-21
   +1.33306e+03     +4.80293e-01     +1.33754e-01     +7.09144e-19     +7.03371e-21
   +1.33362e+03     +5.86579e-01     +1.32599e-01     +7.05423e-19     +7.49921e-21
   +1.33417e+03     +6.36121e-01     +1.31055e-01     +6.98657e-19     +9.52096e-21
   +1.33473e+03     +6.61646e-01     +1.29377e-01     +6.92075e-19     +1.16530e-20
   +1.33528e+03     +8.49178e-01     +1.28883e-01     +6.87778e-19     +1.21980e-20
   +1.33584e+03     +8.14974e-01     +1.29120e-01     +6.85806e-19     +1.11041e-20
   +1.33639e+03     +1.24730e+00     +1.27675e-01     +6.85977e-19     +8.88758e-21
   +1.33694e+03     +1.34802e+00     +1.27169e-01     +6.85032e-19     +7.42551e-21
   +1.33750e+03     +1.18168e+00     +1.26278e-01     +6.79327e-19     +7.28326e-21
   +1.33805e+03     +1.18644e+00     +1.25552e-01     +6.70724e-19     +7.35906e-21
   +1.33861e+03     +7.29043e-01     +1.26200e-01     +6.67084e-19     +7.24711e-21
   +1.33916e+03     +7.96998e-01     +1.27032e-01     +6.75096e-19     +7.10154e-21
   +1.33972e+03     +6.15293e-01     +1.27211e-01     +6.88110e-19     +7.06199e-21
   +1.34027e+03     +9.67604e-01     +1.27722e-01     +6.99091e-19     +7.04446e-21
   +1.34083e+03     +6.85640e-01     +1.27058e-01     +7.03222e-19     +6.81350e-21
   +1.34138e+03     +9.45285e-01     +1.24723e-01     +7.00288e-19     +6.42415e-21
   +1.34193e+03     +1.08058e+00     +1.24343e-01     +6.88867e-19     +6.21868e-21
   +1.34249e+03     +9.51015e-01     +1.24196e-01     +6.74252e-19     +6.36609e-21
   +1.34304e+03     +8.63460e-01     +1.23934e-01     +6.64839e-19     +6.68443e-21
   +1.34360e+03     +7.30845e-01     +1.24369e-01     +6.69577e-19     +6.95084e-21
   +1.34415e+03     +1.16174e+00     +1.25377e-01     +6.84794e-19     +6.94750e-21
   +1.34471e+03     +1.00979e+00     +1.25520e-01     +6.99496e-19     +6.67233e-21
   +1.34526e+03     +9.66752e-01     +1.26836e-01     +7.07432e-19     +6.38426e-21
   +1.34581e+03     +1.01629e+00     +1.29035e-01     +7.09714e-19     +6.16566e-21
   +1.34637e+03     +1.03188e+00     +1.29535e-01     +7.10090e-19     +5.95685e-21
   +1.34692e+03     +9.11035e-01     +1.29499e-01     +7.09802e-19     +5.76081e-21
   +1.34748e+03     +9.94377e-01     +1.29571e-01     +7.09700e-19     +5.70628e-21
   +1.34803e+03     +9.52586e-01     +1.28859e-01     +7.10658e-19     +5.87169e-21
   +1.34859e+03     +8.74809e-01     +1.27063e-01     +7.12218e-19     +6.32399e-21
   +1.34914e+03     +1.01924e+00     +1.26812e-01     +7.12713e-19     +6.86198e-21
   +1.34970e+03     +8.03485e-01     +1.27997e-01     +7.10863e-19     +7.26110e-21
   +1.35025e+03     +7.63732e-01     +1.28206e-01     +7.06428e-19     +7.48882e-21
