# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.SED         Flux.SEDerr      Flux.SEDINT      Flux.SEDINTerr 
   +2.43500e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.50897e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.58519e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.66373e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.74465e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.82803e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.91394e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.00246e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.09367e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.18765e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.28449e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.38426e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.48707e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.59300e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.70215e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.81462e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.93050e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.04991e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.17294e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.29970e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.43032e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.56491e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.70358e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.84647e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.99370e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.14540e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.30171e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.46277e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.62872e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.79971e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.97590e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.15744e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.34449e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.53723e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.73582e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.94045e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.15129e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.36853e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.59238e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.82302e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.06067e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.30554e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.55786e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.81783e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.08570e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.36171e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.64611e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.93914e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.02411e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.05522e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.08727e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.12030e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.15434e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.18940e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.22554e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.26277e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.30113e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.34065e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.38138e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.42335e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.46659e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.51114e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.55704e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.60434e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.65308e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.70330e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.75504e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
